,KO02,KO03,KO04,KO05,KO07,KO08,KO10,KO11,KO12,KO13,KO14,KO15,KO16,KO17,KO18,KO19,KO20,KO21,KO22,KO23,KO24,RF03
C_2pg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_3pg,0.31400000000000006,0.2754000000000003,0.30029999999999957,0.2991999999999999,0.2969999999999997,0.2759999999999998,0.2969999999999997,0.2997000000000005,0.28200000000000003,0.3080000000000007,0.29999999999999893,0.3180000000000005,0.36959999999999926,0.26280000000000037,0.2904,0.2862,0.29049999999999976,0.31430000000000025,0.2970000000000006,0.3080000000000007,0.2939999999999996,0.29520000000000035
C_dhap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_f6p,-0.06279999999999974,-0.24480000000000013,-0.9282,-0.0815999999999999,-0.05400000000000027,-0.2759999999999998,-0.08099999999999996,-0.06660000000000021,-0.28200000000000003,-0.7839999999999998,-0.41999999999999993,0.19079999999999986,-0.2687999999999997,0.1751999999999998,0.0,-0.06359999999999966,-1.1620000000000004,-0.04490000000000016,-0.05940000000000012,-0.05600000000000005,-0.058800000000000185,-0.06560000000000032
C_fbp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_g3p,0.03139999999999965,-0.03059999999999974,-1.4195999999999998,0.02719999999999967,0.027000000000000135,-0.08280000000000065,0.0,0.06660000000000021,-0.056400000000000006,-0.3080000000000007,-0.17999999999999972,0.1589999999999998,-0.03359999999999985,0.11680000000000046,0.10890000000000022,-0.6042000000000005,-0.45649999999999924,-0.5836999999999994,0.02970000000000006,0.0,0.02940000000000076,0.0
C_g6p,0.4081999999999999,0.6732,2.73,0.43520000000000003,0.40500000000000025,0.7452000000000001,0.4590000000000001,0.39959999999999996,0.7332000000000001,1.484,0.96,0.03180000000000005,0.7391999999999999,0.029199999999999893,0.2904,1.0493999999999999,2.0335,0.9878,0.41579999999999995,0.41999999999999993,0.41159999999999997,0.4264000000000001
C_pep,2.1038,1.9583999999999997,0.24570000000000025,1.6864000000000003,1.6740000000000004,1.6284,1.6470000000000002,2.2977,1.6919999999999997,1.3999999999999995,1.8000000000000007,2.2578,2.0832,2.1315999999999997,2.6498999999999997,1.5264000000000002,2.5730000000000004,2.8735999999999997,1.9304999999999999,1.7639999999999993,1.911,2.2632
C_pgp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
