param,value,source
v_max_1,25.739,literature
Ka1_1,1.0,literature
Ka2_1,0.01,literature
Ka3_1,1.0,literature
K_g6p_1,0.5,literature
Ks_g6p_pgi,1.018,literature
Kp_f6p_pgi,0.078,literature
kcat_f_2,4.5452607838153885,sampled_kcat
Ks_f6p_3,0.013,literature
Ks_atp_3,0.02,literature
Kp_fbp_3,0.14,literature
Kp_adp_3,0.19835486717031206,sampled_km_linked
kcat_f_3,7.959356086452372,sampled_kcat
Ks_fbp_4,0.24,literature
Kp_g3p_4,0.044479379615327816,sampled_km_direct
Kp_dhap_4,0.5336636547609582,sampled_km_direct
kcat_f_4,0.95,literature
kcat_f_5,1201.2,literature
Ks_dhap_5,1.03,literature
Kp_g3p_5,0.2032634031759935,sampled_km_direct
kcat_f_6,7.923613637934758,sampled_kcat
Ks_g3p_6,0.89,literature
Ks_pi_6,0.53,literature
Ks_nad_6,0.045,literature
Kp_pgp_6,0.18636368550011587,sampled_km_linked
Kp_nadh_6,0.19349907182661027,sampled_km_linked
kcat_f_7,6.804307397964235,sampled_kcat
Ks_pgp_7,0.20274308513947129,sampled_km_linked
Ks_adp_7,0.18708097737909196,sampled_km_linked
Ks_3pg_7,0.21946391775582938,sampled_km_linked
Ks_atp_7,0.21114957966143208,sampled_km_linked
kcat_f_8,41.602,literature
Ks_3pg_8,0.2,literature
Ks_2pg_8,0.19,literature
kcat_f_9,5.437799277044802,sampled_kcat
Ks_2pg_9,0.1,literature
Ks_pep_9,0.21067090086292364,sampled_km_linked
