,first_cv_pct,second_cv_pct,third_cv_pct
v_max_1,4.836167787763387,5.783361013039082,3.2268653921789534
Ka2_1,62.48051014057721,128.42551846904155,137.80514079570972
Ka3_1,16.497249350657352,19.94406417087321,12.805025791489584
K_g6p_1,3.546540162863275,4.6901235372107974,3.172429979034436
Ks_g6p_pgi,16.823117834465208,33.825656913688675,33.040061734968106
kcat_f_2,6.845115450610959,8.416466454353314,4.65184223254866
kcat_f_3,4.535067077454912,4.904084483722912,12.313450297928771
Ks_fbp_4,269.1043401313673,206.45100926404967,260.3480162706006
kcat_f_4,259.3031436979006,198.95551505999393,183.48136465277878
kcat_f_5,56.103301842285035,40.90260923822304,27.670939375997904
kcat_f_6,49.69062868665834,22.284153211528466,34.19827400829296
kcat_f_7,9.598021088519667,22.583355354359316,12.364958420289009
kcat_f_8,10.989857405474474,28.203419589046035,11.095358489549815
Ks_3pg_8,48.141464357543214,75.91630850196502,66.35320968233185
kcat_f_9,26.95045580069567,39.00475394080431,29.50317501750163
Ks_2pg_9,84.5691526320203,165.1927011071113,201.29803320805496
