,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,kcat_f_3,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,1.0,0.9999181572956656,0.9999980248393006,-0.1303169483760125,2.081797697584365e-06,2.1011783218477253e-06,-0.009679754891127382,-6.563376242234828e-06,-6.647842475977473e-06,0.001207604333385079,-0.06391671731666805,-0.041689252716672225,-0.046607272808389465,0.06602863966453398,0.08808392473930439
Ka2_1,0.9999181572965261,1.0,0.9999089985632438,-0.1300860038578229,1.940934127410034e-06,1.963366925483544e-06,-0.009675849892683516,-6.026524122434479e-06,-6.113944571581866e-06,0.0011140411112207846,-0.06547877119907525,-0.040421659128647904,-0.04561903180086509,0.06477320608117638,0.08731228640135559
Ka3_1,0.9999980248404423,0.9999089985635243,1.0,-0.12901331097010038,2.101869611472487e-06,2.1211080392858765e-06,-0.009672767197946333,-6.618096665073496e-06,-6.702249834450235e-06,0.0012168753949227716,-0.06363525551221967,-0.04193521401451135,-0.04686802990189134,0.06642798633818948,0.08859613230432804
K_g6p_1,-0.13031694837981117,-0.1300860038612686,-0.12901331097331384,1.0,7.115974310099423e-06,7.010261897588897e-06,0.005708373145501951,-1.554033472428769e-05,-1.5435760691396064e-05,0.0026068078200523234,0.09694555642145553,-0.07573383158106178,-0.08279466824335734,0.12515916201875305,0.16530796110042373
Ks_g6p_pgi,2.0179683362852166e-06,1.8771101746243116e-06,2.0380401191423813e-06,7.1241781227369826e-06,1.0,0.9971302201345837,0.0005589578234790985,9.909212886364168e-11,1.0832466162527813e-10,-2.1237123888513922e-07,4.798877455268384e-05,1.1582701171639634e-07,9.115514910063928e-08,-2.933868443221086e-07,-3.5720785883518335e-07
kcat_f_2,2.037132338224448e-06,1.899326654241869e-06,2.0570619946192e-06,7.018634800721598e-06,0.9971302201345845,1.0,0.0005146558478700914,6.136132027356378e-11,7.052516973866697e-11,-2.00161555746588e-07,4.8477617196008e-05,1.344860004590593e-07,1.1199301915638455e-07,-3.2235967281099917e-07,-3.9566675013712263e-07
kcat_f_3,-0.009679754934125885,-0.00967584993564994,-0.009672767240896584,0.005708373150967882,0.0005589572051212438,0.000514655228638361,1.0,-1.3938244111595822e-05,-1.3812603462340925e-05,0.0021912981176439054,-0.07373163249886379,0.0011620105471224342,0.0015154923650535482,-0.0012669111984032946,-0.0018825744614535285
kcat_f_4,-5.996114005792101e-06,-5.459311575696734e-06,-6.050836916439704e-06,-1.561591840105428e-05,9.987614876831524e-11,6.215549181145375e-11,-1.394373763762976e-05,1.0,0.985634250432769,-0.005643841536374108,0.00023344876297474562,-1.7900156483473723e-06,-1.9718395551079856e-06,2.902364155036281e-06,3.840980344949015e-06
kcat_f_5,-6.077818645752024e-06,-5.5439699238428165e-06,-6.132228171680246e-06,-1.5511324491197578e-05,1.0911585664235355e-10,7.132660140963051e-11,-1.381812016228544e-05,0.985634250432796,1.0,-0.005614146881446305,0.0002323083051339254,-1.7738984946720532e-06,-1.95378245390889e-06,2.87699164341726e-06,3.807119425871757e-06
kcat_f_6,0.0012076011123165122,0.001114037890421614,0.0012168721738789108,0.002606808237513005,-2.1229174436713542e-07,-2.0008195401585963e-07,0.002191298149200117,-0.005643842220391592,-0.005614147569409753,1.0,-0.04310534723822891,0.00027909040030487146,0.00030331031502187,-0.0004631432558697699,-0.0006091671562164078
kcat_f_7,-0.06391671718732156,-0.06547877106992481,-0.06363525538323245,0.0969455564041398,4.798468949320643e-05,4.847352642494582e-05,-0.07373163250285593,0.00023348502147061366,0.0002323447678177443,-0.04310534744505408,1.0,0.021502251748848573,0.025894340705286373,-0.02885238171143426,-0.040030670588064705
kcat_f_8,-0.04168925279959584,-0.04042165921155832,-0.041935214097435135,-0.07573383157046337,1.1314808541237062e-07,1.3180330418872188e-07,0.0011620105459704834,-1.7664625553672957e-06,-1.7502060058891522e-06,0.00027909026562707406,0.021502251761552616,1.0,0.976682652687653,-0.9397766508408443,-0.8461420512862089
Ks_3pg_8,-0.046607272904658076,-0.04561903189710862,-0.046868029998154766,-0.08279466822627903,8.816086034462607e-08,1.0899451358395916e-07,0.0015154923642387397,-1.945508230492753e-06,-1.9272953383246944e-06,0.000303310164708185,0.025894340714636095,0.9766826526872623,1.0,-0.9133725922160381,-0.8938852247917157
kcat_f_9,0.06602863974575378,0.06477320616237425,0.06642798641940788,0.1251591620067986,-2.8914375433194974e-07,-3.181106082129656e-07,-0.0012669111963332722,2.865062518218879e-06,2.839469122567225e-06,-0.00046314304277830846,-0.028852381725442154,-0.9397766508385412,-0.9133725922140791,1.0,0.9245445037219276
Ks_2pg_9,0.08808392482435447,0.08731228648637367,0.08859613238937421,0.16530796108560333,-3.5154852431450104e-07,-3.899994409678004e-07,-0.0018825744586783283,3.7912201291985897e-06,3.757064596029375e-06,-0.0006091668721015948,-0.04003067060276003,-0.8461420512819338,-0.893885224787757,0.924544503720027,1.0
